Number	Header	Position	Time	Altitude	Leg Length	Leg Time	Leg Speed	Leg Course
166	Trackpoint	N6 15.244 W75 34.498	29/04/2024 12:35	1471	13	0:00:01	47 kph	191° true
167	Trackpoint	N6 15.237 W75 34.499	29/04/2024 12:35	1471	13	0:00:01	48 kph	187° true
168	Trackpoint	N6 15.230 W75 34.499	29/04/2024 12:35	1470	14	0:00:01	49 kph	184° true
169	Trackpoint	N6 15.222 W75 34.500	29/04/2024 12:35	1470	14	0:00:01	50 kph	185° true
170	Trackpoint	N6 15.214 W75 34.500	29/04/2024 12:35	1470	15	0:00:01	53 kph	185° true
171	Trackpoint	N6 15.206 W75 34.501	29/04/2024 12:35	1470	14	0:00:01	52 kph	183° true
172	Trackpoint	N6 15.199 W75 34.502	29/04/2024 12:35	1470	14	0:00:01	50 kph	186° true
173	Trackpoint	N6 15.192 W75 34.502	29/04/2024 12:35	1470	14	0:00:01	49 kph	182° true
174	Trackpoint	N6 15.184 W75 34.502	29/04/2024 12:35	1470	13	0:00:01	48 kph	185° true
175	Trackpoint	N6 15.177 W75 34.503	29/04/2024 12:35	1470	13	0:00:01	48 kph	182° true
176	Trackpoint	N6 15.170 W75 34.503	29/04/2024 12:35	1470	13	0:00:01	48 kph	178° true
177	Trackpoint	N6 15.163 W75 34.503	29/04/2024 12:35	1471	13	0:00:01	46 kph	180° true
178	Trackpoint	N6 15.156 W75 34.503	29/04/2024 12:35	1471	13	0:00:01	46 kph	180° true
179	Trackpoint	N6 15.150 W75 34.504	29/04/2024 12:35	1471	12	0:00:01	45 kph	191° true
180	Trackpoint	N6 15.144 W75 34.505	29/04/2024 12:35	1472	11	0:00:01	41 kph	190° true
181	Trackpoint	N6 15.138 W75 34.506	29/04/2024 12:35	1472	10	0:00:01	37 kph	185° true
182	Trackpoint	N6 15.133 W75 34.506	29/04/2024 12:35	1472	9	0:00:01	33 kph	184° true
183	Trackpoint	N6 15.129 W75 34.506	29/04/2024 12:35	1473	8	0:00:01	30 kph	185° true
184	Trackpoint	N6 15.124 W75 34.506	29/04/2024 12:35	1473	8	0:00:01	29 kph	182° true
185	Trackpoint	N6 15.120 W75 34.507	29/04/2024 12:35	1473	8	0:00:01	28 kph	187° true
186	Trackpoint	N6 15.116 W75 34.507	29/04/2024 12:35	1474	8	0:00:01	28 kph	182° true
187	Trackpoint	N6 15.112 W75 34.508	29/04/2024 12:35	1474	8	0:00:01	28 kph	187° true
188	Trackpoint	N6 15.108 W75 34.508	29/04/2024 12:35	1474	7	0:00:01	26 kph	184° true
189	Trackpoint	N6 15.104 W75 34.508	29/04/2024 12:35	1474	6	0:00:01	23 kph	179° true
190	Trackpoint	N6 15.102 W75 34.508	29/04/2024 12:35	1474	6	0:00:01	20 kph	188° true
191	Trackpoint	N6 15.099 W75 34.509	29/04/2024 12:35	1474	5	0:00:01	18 kph	195° true
192	Trackpoint	N6 15.097 W75 34.509	29/04/2024 12:35	1474	4	0:00:01	16 kph	190° true
193	Trackpoint	N6 15.095 W75 34.509	29/04/2024 12:35	1474	4	0:00:01	14 kph	182° true
194	Trackpoint	N6 15.093 W75 34.510	29/04/2024 12:35	1474	3	0:00:01	12 kph	182° true
195	Trackpoint	N6 15.091 W75 34.510	29/04/2024 12:35	1474	3	0:00:01	12 kph	194° true
196	Trackpoint	N6 15.089 W75 34.510	29/04/2024 12:35	1474	3	0:00:01	12 kph	169° true
197	Trackpoint	N6 15.087 W75 34.509	29/04/2024 12:35	1474	4	0:00:01	14 kph	161° true
198	Trackpoint	N6 15.086 W75 34.509	29/04/2024 12:35	1474	3	0:00:01	11 kph	174° true
199	Trackpoint	N6 15.084 W75 34.509	29/04/2024 12:36	1474	4	0:00:01	15 kph	178° true
200	Trackpoint	N6 15.083 W75 34.509	29/04/2024 12:36	1474	1	0:00:01	5 kph	189° true
201	Trackpoint	N6 15.080 W75 34.509	29/04/2024 12:36	1474	4	0:00:01	16 kph	179° true
202	Trackpoint	N6 15.079 W75 34.509	29/04/2024 12:36	1474	2	0:00:01	7 kph	170° true
203	Trackpoint	N6 15.077 W75 34.509	29/04/2024 12:36	1474	5	0:00:01	17 kph	180° true
204	Trackpoint	N6 15.074 W75 34.509	29/04/2024 12:36	1474	6	0:00:01	21 kph	188° true
205	Trackpoint	N6 15.071 W75 34.510	29/04/2024 12:36	1474	6	0:00:01	23 kph	191° true
206	Trackpoint	N6 15.067 W75 34.510	29/04/2024 12:36	1474	7	0:00:01	25 kph	184° true
207	Trackpoint	N6 15.063 W75 34.510	29/04/2024 12:36	1474	8	0:00:01	28 kph	181° true
208	Trackpoint	N6 15.058 W75 34.509	29/04/2024 12:36	1474	8	0:00:01	30 kph	173° true
209	Trackpoint	N6 15.053 W75 34.509	29/04/2024 12:36	1474	9	0:00:01	32 kph	179° true
210	Trackpoint	N6 15.048 W75 34.510	29/04/2024 12:36	1474	9	0:00:01	33 kph	185° true
211	Trackpoint	N6 15.044 W75 34.510	29/04/2024 12:36	1474	8	0:00:01	28 kph	178° true
212	Trackpoint	N6 15.041 W75 34.513	29/04/2024 12:36	1474	9	0:00:01	32 kph	218° true
213	Trackpoint	N6 15.036 W75 34.513	29/04/2024 12:36	1474	8	0:00:01	27 kph	185° true
214	Trackpoint	N6 15.032 W75 34.513	29/04/2024 12:36	1474	8	0:00:01	30 kph	182° true
215	Trackpoint	N6 15.027 W75 34.513	29/04/2024 12:36	1474	9	0:00:01	31 kph	181° true
216	Trackpoint	N6 15.022 W75 34.513	29/04/2024 12:36	1474	9	0:00:01	33 kph	182° true
217	Trackpoint	N6 15.017 W75 34.514	29/04/2024 12:36	1474	10	0:00:01	34 kph	185° true
218	Trackpoint	N6 15.012 W75 34.514	29/04/2024 12:36	1474	10	0:00:01	36 kph	181° true
219	Trackpoint	N6 15.006 W75 34.514	29/04/2024 12:36	1474	10	0:00:01	37 kph	180° true
220	Trackpoint	N6 15.001 W75 34.514	29/04/2024 12:36	1474	11	0:00:01	39 kph	177° true
221	Trackpoint	N6 14.994 W75 34.514	29/04/2024 12:36	1474	11	0:00:01	40 kph	179° true
222	Trackpoint	N6 14.988 W75 34.513	29/04/2024 12:36	1474	11	0:00:01	40 kph	178° true
223	Trackpoint	N6 14.983 W75 34.513	29/04/2024 12:36	1475	11	0:00:01	39 kph	179° true
224	Trackpoint	N6 14.976 W75 34.513	29/04/2024 12:36	1475	11	0:00:01	41 kph	180° true
