Number;Header;Position;Time;Altitude;Leg Length;Leg Time;Leg Speed;Leg Course
226;Trackpoint;N6 14.963 W75 34.513;29/04/2024 12:36;1475;13;0:00:01;46 kph;179ｰ true
227;Trackpoint;N6 14.956 W75 34.513;29/04/2024 12:36;1475;13;0:00:01;47 kph;180ｰ true
228;Trackpoint;N6 14.949 W75 34.514;29/04/2024 12:36;1475;13;0:00:01;49 kph;183ｰ true
229;Trackpoint;N6 14.941 W75 34.514;29/04/2024 12:36;1475;14;0:00:01;49 kph;182ｰ true
230;Trackpoint;N6 14.934 W75 34.515;29/04/2024 12:36;1475;14;0:00:01;49 kph;187ｰ true
231;Trackpoint;N6 14.927 W75 34.516;29/04/2024 12:36;1475;14;0:00:01;49 kph;188ｰ true
232;Trackpoint;N6 14.920 W75 34.517;29/04/2024 12:36;1474;13;0:00:01;48 kph;187ｰ true
233;Trackpoint;N6 14.912 W75 34.518;29/04/2024 12:36;1474;14;0:00:01;49 kph;186ｰ true
234;Trackpoint;N6 14.905 W75 34.518;29/04/2024 12:36;1474;14;0:00:01;50 kph;183ｰ true
235;Trackpoint;N6 14.898 W75 34.518;29/04/2024 12:36;1474;14;0:00:01;49 kph;182ｰ true
236;Trackpoint;N6 14.890 W75 34.519;29/04/2024 12:36;1474;14;0:00:01;49 kph;185ｰ true
237;Trackpoint;N6 14.883 W75 34.520;29/04/2024 12:36;1474;13;0:00:01;48 kph;186ｰ true
238;Trackpoint;N6 14.876 W75 34.520;29/04/2024 12:36;1474;13;0:00:01;48 kph;183ｰ true
239;Trackpoint;N6 14.869 W75 34.520;29/04/2024 12:36;1474;13;0:00:01;46 kph;182ｰ true
240;Trackpoint;N6 14.862 W75 34.520;29/04/2024 12:36;1474;12;0:00:01;45 kph;177ｰ true
241;Trackpoint;N6 14.856 W75 34.520;29/04/2024 12:36;1474;12;0:00:01;43 kph;179ｰ true
